category,condition,item,ref_f0_mean,synth_f0_mean,ref_f0_std,synth_f0_std,ref_f0_range,synth_f0_range,ref_dur,synth_dur
propositional_attitude,neutral,ad00_0200,232.60721855619562,216.801768567198,36.24540759340808,46.97457854659797,128.66150294259617,202.59296762720362,1.8675056689342404,1.8575963718820863
propositional_attitude,surprise,ad00_0200,272.649581326846,287.26467158501373,62.47792868974094,86.26008674242902,294.07356012689127,393.17897616700134,2.0645124716553287,2.078185941043084
propositional_attitude,incredulity,ad00_0201,372.9575076606775,348.6887254497405,91.25331652091562,133.56317973870503,296.7818837511919,403.7942420124348,2.164013605442177,2.1130158730158732
propositional_attitude,neutral,ad00_0201,229.56449752776484,228.9390363463696,44.05162576917194,74.28860251957964,145.6258349610252,367.5155108225094,1.9300226757369614,1.9156462585034013
propositional_attitude,surprise,ad00_0201,269.1478625462255,259.34792894299846,71.2899080825644,84.78943022662227,289.0934153566814,410.63239003322093,2.2065079365079363,1.8692063492063493
propositional_attitude,incredulity,ad00_0202,318.1448864394068,328.52089511619755,84.82406636589248,115.89731624536108,305.715961474367,410.3951359090214,2.419501133786848,2.426485260770975
propositional_attitude,neutral,ad00_0202,222.21143668650822,211.29888391844182,40.29103096433508,41.51923190067185,149.03227212965012,180.7248541076641,2.2170068027210883,2.159455782312925
propositional_attitude,surprise,ad00_0202,308.3595174424006,330.65866939881164,76.89755153248964,99.68767791672468,283.94099729847073,411.9316549599672,2.0690022675736963,2.147845804988662
propositional_attitude,incredulity,ad00_0203,344.46065906554287,315.68547214909654,71.47825180463306,96.9454378346223,298.3206488631072,361.0228316387927,2.8170068027210884,2.2523356009070294
propositional_attitude,neutral,ad00_0203,234.64208697128703,221.56042571695863,38.55668305188106,37.09280390286444,103.0419803725768,106.65352019218795,1.913514739229025,1.7763265306122449
propositional_attitude,surprise,ad00_0203,258.9682916063661,242.63878333404867,59.87516714622119,65.03209831596064,307.9892248451649,416.28528676861714,2.3240136054421767,2.2291156462585033
propositional_attitude,incredulity,ad00_0204,380.12034754444903,314.4384431030319,110.80738388185534,129.5900561241641,328.1056630696339,408.9729028849527,2.3365079365079366,1.555736961451247
propositional_attitude,neutral,ad00_0204,227.76107208581948,210.18578730461263,49.56206702703883,61.060581201978685,168.2301057412414,271.68151931589665,1.5470068027210884,1.3583673469387756
propositional_attitude,surprise,ad00_0204,290.55481705294295,271.6683302608646,82.28763943927018,115.25460682962235,303.55013664886354,360.14974882494124,2.2005215419501134,1.6718367346938776
propositional_attitude,incredulity,ad01_0200,188.66489517311962,134.0394095124506,89.7142522357087,26.095741694977036,365.29548077759546,97.430728756387,1.8185034013605441,1.6718367346938776
propositional_attitude,neutral,ad01_0200,120.5565575919468,149.40616652143126,74.56704283256984,86.92016849370724,382.6824945108597,337.8038700353281,1.622018140589569,1.3699773242630386
propositional_attitude,sarcasm,ad01_0200,119.9660770450381,145.58546352897568,23.02606537011812,79.42944357572512,90.51849742766078,333.11040722542964,2.7300226757369614,1.9736961451247166
propositional_attitude,surprise,ad01_0200,195.4576714105495,194.61172128537316,52.56617811694738,84.84607836114091,212.4207885393347,341.9375564068931,1.9615192743764172,1.799546485260771
propositional_attitude,incredulity,ad01_0201,187.1354894574214,189.9785603703017,52.96428196596843,43.580175574444766,180.9911505177476,155.84138248482543,1.9945124716553289,1.5673469387755101
propositional_attitude,neutral,ad01_0201,100.12424303498808,113.59179951337464,14.81691709113839,24.70100613395912,50.571892794952134,128.84228194634193,1.8255328798185941,1.6834467120181407
propositional_attitude,sarcasm,ad01_0201,119.29397916511813,120.29798687158616,29.133423693885472,25.33489403602566,109.22384957692505,92.08231843083992,2.2780045351473923,1.8808163265306121
propositional_attitude,surprise,ad01_0201,218.806851561756,193.52545770667427,51.87569834478961,29.95295590047936,190.541799460243,128.20316601001548,2.015510204081633,1.5325170068027212
propositional_attitude,incredulity,ad01_0202,223.36091828723156,225.79799624248892,76.64688212948404,78.94528983850132,256.3726758964517,248.05951365849108,1.9765079365079365,1.7414965986394557
propositional_attitude,neutral,ad01_0202,111.0188000577302,113.56525243484178,42.47213558752262,27.49644556064946,225.5235474902223,101.78251836771042,1.7155102040816326,1.5905668934240362
propositional_attitude,sarcasm,ad01_0202,133.3537619498582,143.80208319947724,79.24655008938629,76.23113705770095,393.14102525175406,321.31842258683855,3.0785034013605443,1.8924263038548752
propositional_attitude,surprise,ad01_0202,173.76664847602586,146.59036880053597,82.2330398317553,47.242557679504436,398.8033944647386,179.43300499075514,2.0810204081632655,1.811156462585034
propositional_attitude,incredulity,ad01_0203,198.51528303514988,201.32937729066586,75.91950801359916,75.8383115680674,258.3260959116903,280.0345226598622,1.4535147392290249,1.207437641723356
propositional_attitude,neutral,ad01_0203,100.57980966684543,113.0017533456604,11.890408051129619,25.549558807142656,46.1847825704194,112.74872302492035,1.4635147392290249,1.1493877551020408
propositional_attitude,sarcasm,ad01_0203,130.76149753919677,166.55025174017686,30.574394682387506,85.79805814881256,101.17352109426135,350.05221652600414,2.3019954648526078,1.5673469387755101
propositional_attitude,surprise,ad01_0203,191.3473122327612,172.1122229865109,68.2677106774427,52.865665846046035,249.6642830426701,193.5608877241196,1.5320181405895692,1.207437641723356
propositional_attitude,incredulity,ad01_0204,209.54939996975497,205.97991105034993,53.461089415319606,55.3686389444315,216.9319633024242,220.69247895438372,2.0672562358276645,2.078185941043084
propositional_attitude,neutral,ad01_0204,111.68259666191827,136.26776095257378,26.308090645946812,38.40473005445158,106.28429152961655,113.68145762867029,1.8297278911564625,1.7414965986394557
propositional_attitude,sarcasm,ad01_0204,150.01634378378586,146.4293346314086,31.886631081985893,19.841203759767296,122.55410482925122,105.12861997388137,2.847142857142857,2.2755555555555556
propositional_attitude,surprise,ad01_0204,184.75253337514206,181.67315109892905,65.31570200376424,50.35819215923871,243.099981729033,207.30301726985454,2.130816326530612,2.2639455782312927
